dataset: /home/tud/OCUDU/datasets/E001/20260825_1503_E001.jsonl

user 0: 8128 samples, 12 segment(s)
  seg rnti    n      RU0:mean/10%out  RU1:mean/10%out  RU2:mean/10%out  RU3:mean/10%out
    0 0x4601  1004   -28.3/ -21.4   -28.1/ -21.1   -28.2/ -22.1   -29.0/ -21.7
    1 0x4602     1   -28.1/ -28.1   -22.9/ -22.9   -21.2/ -21.2   -21.6/ -21.6
    2 0x4601     1   -38.8/ -38.8   -37.9/ -37.9   -36.6/ -36.6   -38.2/ -38.2
    3 0x4602     1   -27.5/ -27.5   -22.0/ -22.0   -20.5/ -20.5   -21.1/ -21.1
    4 0x4601     1   -39.1/ -39.1   -38.3/ -38.3   -37.3/ -37.3   -38.3/ -38.3
    5 0x4602     1   -28.3/ -28.3   -23.0/ -23.0   -21.3/ -21.3   -21.7/ -21.7
    6 0x4601     1   -37.3/ -37.3   -37.5/ -37.5   -37.3/ -37.3   -38.0/ -38.0
    7 0x4602     1   -19.4/ -19.4   -18.5/ -18.5   -17.9/ -17.9   -17.8/ -17.8
    8 0x4601     1   -37.5/ -37.5   -38.3/ -38.3   -37.0/ -37.0   -37.4/ -37.4
    9 0x4602     1   -16.3/ -16.3   -15.5/ -15.5   -15.0/ -15.0   -14.9/ -14.9
   10 0x4601     1   -37.3/ -37.3   -37.3/ -37.3   -37.6/ -37.6   -38.3/ -38.3
   11 0x4602  7114   -23.2/ -20.1   -22.5/ -18.2   -22.4/ -17.9   -23.4/ -19.6
