dataset: /home/tud/OCUDU/datasets/E005-trial/20260722_1542_E005-trial.jsonl

user 0: 19392 samples, 831 segment(s)
  seg rnti    n      RU0:mean/10%out  RU1:mean/10%out  RU2:mean/10%out  RU3:mean/10%out
    0 0x4601   776   -25.2/ -18.1   -24.6/ -17.6   -24.5/ -17.6   -25.1/ -18.4
    1 0x4602     1   -40.4/ -40.4   -41.2/ -41.2   -41.6/ -41.6   -41.8/ -41.8
    2 0x4601     1   -38.7/ -38.7   -38.4/ -38.4   -37.5/ -37.5   -38.7/ -38.7
    3 0x4602     1   -37.5/ -37.5   -38.6/ -38.6   -40.0/ -40.0   -41.0/ -41.0
    4 0x4601     1   -38.5/ -38.5   -38.1/ -38.1   -37.5/ -37.5   -38.1/ -38.1
    5 0x4602     1   -36.6/ -36.6   -37.0/ -37.0   -38.8/ -38.8   -40.4/ -40.4
    6 0x4601     1   -38.6/ -38.6   -38.3/ -38.3   -36.5/ -36.5   -38.5/ -38.5
    7 0x4602     1   -36.5/ -36.5   -36.2/ -36.2   -37.9/ -37.9   -39.2/ -39.2
    8 0x4601     1   -38.7/ -38.7   -38.5/ -38.5   -37.2/ -37.2   -37.7/ -37.7
    9 0x4602     1   -38.9/ -38.9   -37.5/ -37.5   -38.6/ -38.6   -40.4/ -40.4
   10 0x4601     1   -37.8/ -37.8   -38.2/ -38.2   -37.2/ -37.2   -38.6/ -38.6
   11 0x4602     1   -39.1/ -39.1   -36.1/ -36.1   -35.5/ -35.5   -36.3/ -36.3
   12 0x4601     1   -38.4/ -38.4   -38.3/ -38.3   -37.1/ -37.1   -38.5/ -38.5
   13 0x4602     1   -37.6/ -37.6   -37.2/ -37.2   -34.0/ -34.0   -34.8/ -34.8
   14 0x4601     1   -38.6/ -38.6   -38.4/ -38.4   -35.7/ -35.7   -37.8/ -37.8
   15 0x4602   354   -37.3/ -35.6   -37.0/ -34.8   -36.8/ -35.1   -37.3/ -35.4
   16 0x4603    57   -41.2/ -40.4   -40.9/ -40.2   -40.4/ -39.6   -41.0/ -40.4
   17 0x4604     1   -41.5/ -41.5   -41.8/ -41.8   -40.2/ -40.2   -40.8/ -40.8
   18 0x4603     1   -40.3/ -40.3   -41.1/ -41.1   -39.5/ -39.5   -41.0/ -41.0
   19 0x4604     1   -40.6/ -40.6   -40.2/ -40.2   -40.0/ -40.0   -40.4/ -40.4
   20 0x4603     1   -40.9/ -40.9   -41.3/ -41.3   -40.0/ -40.0   -41.2/ -41.2
