file,speed_mps,Tc_plateau_s,plateau_window_ms,Tc_theory_s,ratio,status
20260825_1552_E001.rb.jsonl.gz,0.02,0.74,20,1.68,0.44,plateau
20260825_1615_E002.rb.jsonl.gz,0.05,0.38,20,0.672,0.565,plateau
20260825_1637_E003.rb.jsonl.gz,0.1,0.2,20,0.336,0.595,plateau
20260825_1700_E004.rb.jsonl.gz,0.2,0.12,20,0.168,0.714,plateau
20260826_1120_E005.rb.jsonl.gz,0.3,0.1,20,0.112,0.893,plateau
20260826_1252_E006.rb.jsonl.gz,0.4,0.06,20,0.084,0.714,plateau
20260825_1552_E001.rb.jsonl.gz,0.02,0.74,20,1.68,0.44,plateau
20260825_1615_E002.rb.jsonl.gz,0.05,0.38,20,0.672,0.565,plateau
20260825_1637_E003.rb.jsonl.gz,0.1,0.2,20,0.336,0.595,plateau
20260825_1700_E004.rb.jsonl.gz,0.2,0.12,20,0.168,0.714,plateau
20260826_1120_E005.rb.jsonl.gz,0.3,0.1,20,0.112,0.893,plateau
20260826_1252_E006.rb.jsonl.gz,0.4,0.06,20,0.084,0.714,plateau
20260826_1315_E007.rb.jsonl.gz,0.5,0.06,20,0.067,0.893,plateau
