file,speed_mps,Tc_meas_s,Tc_theory_s,Tc_ratio,Tstar_s,regret_fixed_dB,Bc_MHz,srs_snr_dB,avg_win_ms,n_samples
E006,0.4,0.0554,0.084,0.66,0.0816,1.67,11.16,1.8,20,56248
E007,0.5,0.0456,0.0672,0.679,0.0739,1.553,9.72,2.6,20,55226
E004,0.2,0.1232,0.168,0.733,0.1687,2.35,10.44,4.5,20,57048
E005,0.3,0.0849,0.112,0.758,0.1237,1.227,14.4,3.4,20,54736
E002,0.05,0.3972,0.672,0.591,0.6018,2.0,10.44,10.1,20,54545
E003,0.1,0.203,0.336,0.604,0.3352,1.87,10.08,6.3,20,56354
E001,0.02,0.8053,1.68,0.479,1.1099,1.977,8.28,15.8,20,52194
E0055,0.3,0.0766,0.112,0.684,0.1151,1.704,11.16,3.9,10,110705
E0077,0.5,0.0477,0.0672,0.71,0.1005,0.922,13.32,2.2,10,108467
E0022,0.05,0.383,0.672,0.57,0.7805,1.163,15.48,8.7,10,109251
E0044,0.2,0.1081,0.168,0.643,0.1909,1.426,14.4,2.0,10,109468
E0033,0.1,0.1928,0.336,0.574,0.2923,1.563,11.52,4.4,10,113873
E0066,0.4,0.0659,0.084,0.784,0.0883,1.405,14.04,3.6,10,111732
