dataset: /home/tud/OCUDU/datasets/20260721_1036_E01_behind_metalbox.jsonl

user 0: 82 samples, 21 segment(s)
  seg rnti    n      RU0:mean/10%out  RU1:mean/10%out  RU2:mean/10%out  RU3:mean/10%out
    0 0x4604    19   -34.2/ -32.6   -31.5/ -29.6   -29.6/ -27.7   -29.2/ -27.0
    1 0x4605    14   -31.7/ -29.0   -29.8/ -25.9   -28.1/ -23.7   -26.7/ -22.7
    2 0x4606     8   -30.0/ -27.1   -29.9/ -25.8   -27.5/ -23.7   -26.7/ -23.5
    3 0x4607     1   -42.4/ -42.4   -42.0/ -42.0   -41.2/ -41.2   -40.9/ -40.9
    4 0x4609     1   -41.4/ -41.4   -41.3/ -41.3   -39.5/ -39.5   -40.3/ -40.3
    5 0x460b     1   -41.6/ -41.6   -41.0/ -41.0   -40.2/ -40.2   -41.9/ -41.9
    6 0x460c     9   -27.5/ -26.7   -26.3/ -25.4   -24.4/ -23.4   -24.3/ -23.2
    7 0x460d     1   -31.4/ -31.4   -30.3/ -30.3   -31.0/ -31.0   -32.0/ -32.0
    8 0x460f     1   -31.7/ -31.7   -30.0/ -30.0   -31.1/ -31.1   -31.7/ -31.7
    9 0x4611     1   -32.0/ -32.0   -30.4/ -30.4   -31.8/ -31.8   -32.1/ -32.1
   10 0x4612     9   -30.8/ -27.2   -31.4/ -25.7   -28.0/ -23.5   -27.0/ -23.6
   11 0x4614     1   -32.8/ -32.8   -32.3/ -32.3   -35.2/ -35.2   -33.0/ -33.0
   12 0x4616     1   -29.7/ -29.7   -29.1/ -29.1   -29.4/ -29.4   -28.2/ -28.2
   13 0x4618     2   -29.3/ -29.6   -30.1/ -30.2   -25.0/ -25.1   -23.3/ -23.6
   14 0x4619     1   -32.8/ -32.8   -30.8/ -30.8   -30.6/ -30.6   -29.1/ -29.1
   15 0x461b     1   -29.3/ -29.3   -28.8/ -28.8   -30.0/ -30.0   -30.4/ -30.4
   16 0x461d     1   -28.4/ -28.4   -27.7/ -27.7   -28.6/ -28.6   -29.3/ -29.3
   17 0x461e     3   -30.1/ -30.6   -29.3/ -29.0   -26.3/ -25.3   -25.0/ -24.8
   18 0x4620     1   -31.2/ -31.2   -29.4/ -29.4   -28.8/ -28.8   -29.1/ -29.1
   19 0x4622     1   -35.6/ -35.6   -34.3/ -34.3   -29.4/ -29.4   -26.2/ -26.2
   20 0x4624     5   -28.6/ -27.7   -31.9/ -30.6   -32.5/ -31.5   -28.8/ -28.0
